College_id,College_name,survey_year,offers_scholarship,id,total_general_total,total_general_females,total_sc_total,total_sc_females,total_st_total,total_st_females,total_obc_total,total_obc_females,total_total_persons,total_total_females,total_remarks_id,pwd_general_total,pwd_general_females,pwd_sc_total,pwd_sc_females,pwd_st_total,pwd_st_females,pwd_obc_total,pwd_obc_females,pwd_total_persons,pwd_total_females,pwd_remarks_id,muslim_minority_general_total,muslim_minority_general_females,muslim_minority_sc_total,muslim_minority_sc_females,muslim_minority_st_total,muslim_minority_st_females,muslim_minority_obc_total,muslim_minority_obc_females,muslim_minority_total_persons,muslim_minority_total_females,muslim_minority_remarks_id,other_minority_general_total,other_minority_general_females,other_minority_sc_total,other_minority_sc_females,other_minority_st_total,other_minority_st_females,other_minority_obc_total,other_minority_obc_females,other_minority_total_persons,other_minority_total_females,other_minority_remarks_id,total_remark
5850,Mahila Mahavidyalaya,2015,TRUE,4244791,189,189,33,33,73,73,25,25,320,320,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5887,M. M. Gandhi Arts & Commerce College,2015,TRUE,4244168,8,4,82,44,19,13,142,83,251,144,NA,2,2,0,0,0,0,2,1,4,3,NA,5,1,0,0,0,0,0,0,5,1,NA,1,1,0,0,0,0,0,0,1,1,NA,NA
889,"ARTS & COMMERCE COLLEGE, BARAVALA",2015,TRUE,4260253,0,0,60,40,0,0,0,0,60,40,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
824,"ARTS, COMMERCE COMPUTER SCIENCE COLLEGE-MANAVADAR",2015,TRUE,4265199,45,22,503,230,42,17,1315,727,1905,996,NA,9,3,0,0,0,0,0,0,9,3,NA,30,19,0,0,0,0,0,0,30,19,NA,6,0,0,0,0,0,0,0,6,0,NA,NA
5890,M. & V. Arts and Commerce College,2015,TRUE,4325540,3,0,35,19,130,81,70,44,238,144,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
14058,THE FUTURE COMPUTER SCIENCE COLLEGE - JUNAGADH,2015,TRUE,4304459,0,0,6,3,4,3,28,16,38,22,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6001,Nalanda B. Ed. College,2015,TRUE,4256231,0,0,26,11,11,4,6,4,43,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
5865,Navjivan Arts and Commerce College,2015,TRUE,4532675,0,0,48,11,1543,592,32,13,1623,616,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5923,Navjivan Science College,2015,TRUE,4491725,0,0,31,14,423,160,109,33,563,207,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6112,Parul Arogya Seva Mandal Physiotherapy College,2015,TRUE,4247523,0,0,2,2,13,12,21,21,36,35,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6052,Parul Institute of Business Administration,2015,TRUE,4559595,0,0,0,0,0,0,9,5,9,5,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6057,Pioneer Physiotherapy College,2015,TRUE,4569088,0,0,10,8,18,6,22,22,50,36,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
36890,"Shrimati Narbada Devi Bihani Government Post Graduate College, Nohar",2015,TRUE,4728257,0,0,388,220,17,10,249,119,654,349,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6038,Sanskar Bharti B. Ed. College,2015,TRUE,4854806,0,0,8,5,11,8,0,0,19,13,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5988,Sardar Patel B. Ed. College,2015,TRUE,4555304,0,0,5,4,6,3,5,2,16,9,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
5983,Sarvodaya College of Education,2015,TRUE,4796731,0,0,6,2,15,5,27,19,48,26,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5801,S. C. A. Patel Arts College,2015,TRUE,4441679,10,5,34,16,33,16,20,14,97,51,NA,0,0,0,0,0,0,0,0,0,0,NA,10,5,0,0,0,0,0,0,10,5,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6017,Sheth M. N. C. College of Education,2015,TRUE,4273930,0,0,10,9,19,9,32,23,61,41,NA,0,0,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5852,Sheth P. T. Arts & Science College,2015,TRUE,4376678,0,0,157,103,241,124,344,198,742,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
5877,Sheth T. C. Kapadia Arts & Commerce College,2015,TRUE,4285318,0,0,62,34,669,248,64,36,795,318,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5864,Shree B. K. Patel Arts and Smt. L. M. Patel Commerce College,2015,TRUE,4290214,0,0,26,18,5,1,14,9,45,28,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,2,2,2,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5859,Shree J. L. K. Kotecha Arts & S. H. Gardi Commerce College,2015,TRUE,4388807,0,0,0,0,31,18,0,0,31,18,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5806,Shri. M. C. Rathva Arts College,2015,TRUE,4429266,0,0,26,23,482,386,56,47,564,456,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5815,Shri Muktajivan Swamibapa Kelvani Mandal Sanchalit Arts College,2015,TRUE,4900880,0,0,21,21,66,49,1,1,88,71,NA,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5956,Shri Natvarsinhji Arts & Science & Shri S. G. Patel Commerce College,2015,TRUE,4731585,0,0,75,28,1057,406,43,21,1175,455,NA,0,0,0,0,1,1,0,0,1,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5831,Shri N. K. Mehta & Smt. M. F. Dani Arts College,2015,TRUE,5080378,0,0,54,27,589,257,37,12,680,296,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5917,"Shri P. N. Pandya Arts, Shri M. P. Pandya Science & D. P. Pandya Commerce College",2015,TRUE,4730093,0,0,85,42,83,38,86,37,254,117,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5976,Shri Sarvajanik College of Education,2015,TRUE,4243223,3,2,4,4,13,6,14,11,34,23,NA,3,2,0,0,0,0,0,0,3,2,NA,0,0,0,0,0,0,4,1,4,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5805,Shri S. P. Patel Arts College,2015,TRUE,4365787,1,1,24,13,259,90,119,65,403,169,NA,0,0,1,1,1,1,4,2,6,4,NA,0,0,0,0,0,0,5,1,5,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5804,Shri S. R. Bhabhor Arts College,2015,TRUE,4528069,0,0,4,1,650,377,45,26,699,404,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5792,Shri Tejendraprasadji Swaminarayan Arts College,2015,TRUE,4250683,0,0,203,109,6,3,57,30,266,142,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6065,Sigma Institute of Physiotherapy,2015,TRUE,4244764,0,0,8,7,14,14,22,20,44,41,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5817,Smt. C. R. Gardi Arts College,2015,TRUE,4299263,1,0,20,8,666,299,62,38,749,345,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5848,Smt. H. C. Patel (Kandari) Arts and Commerce College,2015,TRUE,4267007,4,1,34,22,39,16,26,17,103,56,NA,4,1,0,0,0,0,0,0,4,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6062,Smt. M. K. Sanghvi Homeopathic Medical College,2015,TRUE,4249995,10,4,14,9,12,8,23,17,59,38,NA,0,0,0,0,0,0,0,0,0,0,NA,6,4,0,0,0,0,0,0,6,4,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
6035,Virpur Mahila Utkarsh B. Ed. College for Girls,2015,TRUE,4443852,0,0,0,0,22,7,3,2,25,9,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
5884,Y. S. Arts & K. S. S. Commerce College,2015,TRUE,4742412,0,0,71,33,145,78,225,113,441,224,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
33800,"Mangaon Panchakroshi Shikshan Prasarak Mandals Late Parvatibai Mahadeorao Dhuri Arts College, Late Mahadeorao Narayanrao Dhuri Commerce & Science College Shri Shetra Mangaon, Tal. - Kudal Dist. - Sindhudurg - 416 519",2015,TRUE,4697813,0,0,0,0,0,0,19,10,19,10,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
44308,Sanskar B.Ed. College Vadodara,2015,TRUE,4490924,0,0,6,6,9,9,9,9,24,24,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50461,"NPV ARTS AND SCIENCE COLLEGE, CUDDALORE",2015,TRUE,4463046,0,0,103,62,2,1,0,0,105,63,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50462,"PADMBHUSHAN VASANT DADA PATIL COLLEGE OF AGRICULTURE, PUNE",2015,TRUE,5368448,128,44,47,18,23,11,157,46,355,119,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,7,6,7,6,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50468,"HIMACHAL INSTITUTE OF TECHNOLOGY, SIRMAUR",2015,TRUE,4410244,5,1,0,0,0,0,2,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,5,1,0,0,0,0,0,0,5,1,NA,0,0,0,0,0,0,2,0,2,0,NA,NA
50470,"SHRI KRISHNA MAHAVIDYALAYA, JAIPUR",2015,TRUE,4524849,0,0,11,2,6,1,36,5,53,8,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
29172,"Homoeopathic Medical College, Hanumangarh Road, Abohar",2015,TRUE,5370520,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Category-wise data not maintained
36031,"Shri Rawatpura Sarkar Institute of Technology , Near Bhedhaghat Chowk, NH-12, Bhopal Highway, Jabalpur-482001",2015,TRUE,4922603,225,0,0,0,0,0,0,0,225,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50472,"GOVERNMENT COLLEGE, INDERGARH, DATIA",2015,TRUE,5531446,0,0,34,16,1,1,49,25,84,42,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50477,"DR ULHAS PATIL COLLEGE OF AGRICULTURAL ENGINEERING & TECHNOLOGY, JALGAON",2015,TRUE,5593585,0,0,12,4,9,1,134,18,155,23,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
51639,Sri Basaveswara first grade college for women,2015,TRUE,4584804,0,0,34,34,5,5,81,81,120,120,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50476,"DR ULHAS PATIL COLLEGE OF AGRICULTURE, JALGAON",2015,TRUE,5593560,0,0,22,10,15,12,127,44,164,66,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50478,"DR ULHAS PATIL COLLEGE OF FOOD TECHNOLOGY, JALGAON",2015,TRUE,5593603,0,0,6,2,2,0,46,12,54,14,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50825,"AGRICULTURAL COLLEGE AND RESEARCH INSTITUTE, THANJAVUR",2015,TRUE,5214418,66,30,17,9,2,2,0,0,85,41,NA,1,1,0,0,0,0,0,0,1,1,NA,3,2,0,0,0,0,0,0,3,2,NA,1,0,0,0,0,0,0,0,1,0,NA,NA
50481,"AYUSH COLLEGE OF POLYTECHNIC, MEDUKA PENDRA ROAD",2015,TRUE,4734841,0,0,10,2,4,1,44,4,58,7,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50483,"GOVERNMENT POLYTECHNIC (CO-ED), RAIPUR",2015,TRUE,4785578,7,3,19,2,28,4,34,4,88,13,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50484,"GOVERNMENT POLYTECHNIC, BALODABAZAR",2015,TRUE,4643068,1,0,7,1,19,0,27,3,54,4,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50486,"GOVERNMENT POLYTECHNIC (CO-ED), BASTAR, JAGADALPUR",2015,TRUE,4714229,1,0,3,0,28,0,14,2,46,2,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,NA,NA
50487,"GURUKUL COLLEGE, BERASIA",2015,TRUE,5516740,0,0,25,20,4,2,200,150,229,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
50492,PIONEER COLLEGE OF EDUCATION,2015,TRUE,4518496,12,4,0,0,0,0,0,0,12,4,NA,0,0,0,0,0,0,0,0,0,0,NA,12,4,0,0,0,0,0,0,12,4,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50494,"WINGS BUSINESS SCHOOL, KKV PURAM, R C PURAM",2015,TRUE,5202700,32,10,8,3,2,1,35,3,77,17,NA,0,0,0,0,0,0,0,0,0,0,NA,3,1,0,0,0,0,0,0,3,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50495,GOUR MALDA COLLEGE OF EDUCATION (B Ed),2015,TRUE,4558296,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
39450,Abhinav Institute of Management & Technology,2015,TRUE,5195372,7,1,14,2,2,1,25,5,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA
24368,Raghu Institute Of Technology,2015,TRUE,5203492,262,85,40,5,2,0,810,192,1114,282,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,22,1,22,1,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50502,"LAL BAHADUR SHASTRI MAHILA AYURVEDIC COLLEGE & HOSPITAL, BILASPUR",2015,TRUE,5610530,0,0,2,2,0,0,0,0,2,2,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50501,"COLLEGE OF ENGINEERING, ARANMULA",2015,TRUE,5282773,10,4,21,7,2,2,29,11,62,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,15,4,15,4,NA,0,0,0,0,0,0,13,7,13,7,NA,NA
50499,NIZAR RAHIM & MARK SCHOOL OF ARCHITECTURE,2015,TRUE,5327248,0,0,0,0,0,0,2,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50827,"SATNAMI KANYA VIDYAPETH, RUKANPUR",2015,TRUE,5499587,19,19,9,9,0,0,2,2,30,30,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
50505,"GOVERNMENT COLLEGE, RAMPUR BAGHELAN",2015,TRUE,5364390,29,29,43,38,9,7,57,48,138,122,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,2,2,2,NA,0,0,0,0,0,0,0,0,0,0,NA,NA
